
Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url,CP_value
中和保健路車庫1樓、住家辦公近捷運,29000,30,0,1,3,新北市,新北市中和區保健路,公寓,3房2廳1衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0518c2292878842,0
台中北區 櫻花道套房 近國軍醫院大潤發科博館,6500,5,0,2,1,台中市,台中市北區太原路一段,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092681292837978,0
A22機捷夜市學區奢華全新套房非仲介免服務費可租補,17800,13.78,31,11,1,桃園市,桃園市中壢區中央西路二段/中央貴族,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0439e9292721000,0
近成大暨醫院、二中、台南醫院、台南公園、轉運站,5500,5,30,5,1,台南市,台南市北區公園北路,透天厝,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0ca6fd292506107,0
台中市精密機械園區-廠房出租(B1~5F),1680000,1972,0,5,0,台中市,台中市南屯區精科中一路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=056658292329239,0
小巨蛋站/邊間店面/輕食 飲料 服飾皆可,120000,15.37,0,1,0,台北市,台北市松山區南京東路四段,電梯大廈,,,"['有對外窗', '為邊間']",https://www.rakuya.com.tw/rent/rent_item?ehid=0a582c292296736,0
"知名電梯華廈,頂級全新裝潢,近捷運亞東醫院站/科學",23000,18,0,6,1,新北市,新北市板橋區貴興路/誠都,電梯大廈,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ec92e292038432,0
巨蛋捷運瑞豐商圈店面1+2樓(謝絕餐飲業),38000,40,43,2,0,高雄市,高雄市鼓山區華榮路,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f9918292030127,0
笛布斯專任~僑泰電梯視野二房台水電大陽台可開伙可寵,13000,27.24,30,10,2,台中市,台中市南區南和一街/德昌中華,電梯大廈,2房1廳1衛 - 1陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=009e89291929012,0
運河電梯套房(另有多間雅房跟美甲工作室),7500,5,0,3,1,台南市,台南市安平區華平路,別墅,1房1衛,,"['有對外窗', '為邊間']",https://www.rakuya.com.tw/rent/rent_item?ehid=0ba21729177054c,0
